We have 342 topology rules
1610003 --> ( 1620003 )
1610005 --> ( 1620005 )
1610006 --> ( 1620006 )
1610008 --> ( 1620008 )
1610009 --> ( 1620009 )
1610011 --> ( 1620011 )
1620005 --> ( 1500005 )
1620006 --> ( 1500007 )
1620008 --> ( 200009 )
1620009 --> ( 100003 )
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bbrb_rtr.out.rules.json to NetPlumber ===
Get table id: 22
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/goza_rtr.in.rules.json to NetPlumber ===
Get table id: 70
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/sozb_rtr.out.rules.json to NetPlumber ===
Get table id: 142
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bbrb_rtr.in.rules.json to NetPlumber ===
Get table id: 20
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/soza_rtr.in.rules.json to NetPlumber ===
Get table id: 130
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bbra_rtr.in.rules.json to NetPlumber ===
Get table id: 10
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bbra_rtr.out.rules.json to NetPlumber ===
Get table id: 12
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/cozb_rtr.in.rules.json to NetPlumber ===
Get table id: 60
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/soza_rtr.out.rules.json to NetPlumber ===
Get table id: 132
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/boza_rtr.in.rules.json to NetPlumber ===
Get table id: 30
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/rozb_rtr.out.rules.json to NetPlumber ===
Get table id: 122
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/gozb_rtr.in.rules.json to NetPlumber ===
Get table id: 80
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/yozb_rtr.mid.rules.json to NetPlumber ===
Get table id: 161
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/yoza_rtr.in.rules.json to NetPlumber ===
Get table id: 150
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bbra_rtr.mid.rules.json to NetPlumber ===
Get table id: 11
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/poza_rtr.out.rules.json to NetPlumber ===
Get table id: 92
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bozb_rtr.mid.rules.json to NetPlumber ===
Get table id: 41
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/coza_rtr.in.rules.json to NetPlumber ===
Get table id: 50
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/soza_rtr.mid.rules.json to NetPlumber ===
Get table id: 131
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/pozb_rtr.out.rules.json to NetPlumber ===
Get table id: 102
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/goza_rtr.out.rules.json to NetPlumber ===
Get table id: 72
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bozb_rtr.in.rules.json to NetPlumber ===
Get table id: 40
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/gozb_rtr.out.rules.json to NetPlumber ===
Get table id: 82
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/yozb_rtr.out.rules.json to NetPlumber ===
Get table id: 162
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/poza_rtr.mid.rules.json to NetPlumber ===
Get table id: 91
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/yoza_rtr.mid.rules.json to NetPlumber ===
Get table id: 151
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bozb_rtr.out.rules.json to NetPlumber ===
Get table id: 42
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/yoza_rtr.out.rules.json to NetPlumber ===
Get table id: 152
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/boza_rtr.out.rules.json to NetPlumber ===
Get table id: 32
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/boza_rtr.mid.rules.json to NetPlumber ===
Get table id: 31
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/coza_rtr.out.rules.json to NetPlumber ===
Get table id: 52
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/poza_rtr.in.rules.json to NetPlumber ===
Get table id: 90
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/pozb_rtr.in.rules.json to NetPlumber ===
Get table id: 100
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/bbrb_rtr.mid.rules.json to NetPlumber ===
Get table id: 21
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/sozb_rtr.mid.rules.json to NetPlumber ===
Get table id: 141
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/coza_rtr.mid.rules.json to NetPlumber ===
Get table id: 51
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/cozb_rtr.mid.rules.json to NetPlumber ===
Get table id: 61
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/roza_rtr.in.rules.json to NetPlumber ===
Get table id: 110
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/roza_rtr.mid.rules.json to NetPlumber ===
Get table id: 111
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/rozb_rtr.in.rules.json to NetPlumber ===
Get table id: 120
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/roza_rtr.out.rules.json to NetPlumber ===
Get table id: 112
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/rozb_rtr.mid.rules.json to NetPlumber ===
Get table id: 121
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/goza_rtr.mid.rules.json to NetPlumber ===
Get table id: 71
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/pozb_rtr.mid.rules.json to NetPlumber ===
Get table id: 101
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/gozb_rtr.mid.rules.json to NetPlumber ===
Get table id: 81
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/sozb_rtr.in.rules.json to NetPlumber ===
Get table id: 140
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/yozb_rtr.in.rules.json to NetPlumber ===
Get table id: 160
=== Loading rule file ../../hsa-python/examples/stanford/stanford_json_rules/cozb_rtr.out.rules.json to NetPlumber ===
Get table id: 62
total run time is 1227114 us. rules: 8792 average: 139 us
Loading policy file ../../hsa-python/examples/stanford/policy.json
285 [0x7f1f077477c0] FATAL DefaultLoopDetectionLogger null - Loop Detected: after event Add Source (ID1: 1)
